author,title
Lothar Breuer,Operator-Geometric Solutions for the M/G/k Queue and its Variants
"Christopher Lusena, Judy Goldsmith, Martin Mundhenk",Nonapproximability Results for Partially Observable Markov Decision Processes
"János Komlós, Ali Shokoufandeh, Miklós Simonovits, Endre Szemerédi",The Regularity Lemma and Its Applications in Graph Theory.
Vijay V. Vazirani,Primal-Dual Schema Based Approximation Algorithms.
"Isabel Fernández-Anta, Eva Millán, José-Luis Pérez-de-la-Cruz",Adaptation and Generation in a Web-Based Lisp Tutor.
"Juan E. Gilbert, Chia Y. Han",Researching Adaptive Instruction.
"Elena Not, Massimo Zancanaro",The MacroNode Approach: Mediating Between Adaptive and Dynamic Hypermedia.
"Paul P. Maglio, Stephen Farrell",LiveInfo: Adapting Web Experience by Customization and Annotation.
"Carlo Strapparava, Bernardo Magnini, Anna Stefani",Sense-Based User Modelling for Web Sites.
"Jatinder Hothi, Wendy Hall, Tim Sly",A Study Comparing the Use of Shaded Text and Adaptive Navigational Support in Adaptive Hypermedia.
Monica M. C. Schraefel,ConTexts: Adaptable Hypermedia.
"Huajie Zhang, Charles X. Ling, Zhiduo Zhao",The Learnability of Naive Bayes.
"Udo Hahn, Stefan Schulz",Towards Very Large Terminological Knowledge Bases: A Case Study from Medicine.
"Jianchao Han, Aijun An, Nick Cercone",CViz: An Interactive Visualization System for Rule Induction.
"Yilun Dianna Xu, Norman I. Badler",Algorithms for Generating Motion Trajectories Described by Prepositions.
"Liwei Zhao, Monica Costa, Norman I. Badler",Interpreting Movement Manner.
"Gilles Debunne, Mathieu Desbrun, Marie-Paule Cani, Alan H. Barr",Adaptive Simulation of Soft Bodies in Real-Time.
Dae-Hwan Kim,Advanced Compiler Optimization for Calm RISC8 Low-End Embedded Processor.
"Yuan Lin, David A. Padua",Analysis of Irregular Single-Indexed Array Accesses and Its Applications in Compiler Optimizations.
Gagan Agrawal,Demand-Driven Construction of Call Graphs.
"Reinhard Wilhelm, Shmuel Sagiv, Thomas W. Reps",Shape Analysis.
Michael L. Littman,Review: Computer Language Games.
Tristan Cazenave,Abstract Proof Search.
Katsumi Inoue,A Simple Characterization of Extended Abduction.
Dale Miller,Abstract Syntax for Variable Binders: An Overview.
"Joseph Gartner, Terrance Swift, Allen Tien, Carlos Viegas Damásio, Luís Moniz Pereira",Psychiatric Diagnosis from the Viewpoint of Computational Logic.
"James Harland, Tatjana Lutovac, Michael Winikoff",Goal-Directed Proof Search in Multiple-Conclusions Intuitionistic Logic.
"Rada Chirkova, Michael R. Genesereth",Linearly Bounded Reformulations of Conjunctive Databases.
"Jan Broersen, Roel Wieringa, John-Jules Ch. Meyer",A Semantics for Persistency in Propositional Dynamic Logic.
Tomi Janhunen,Comparing the Expressive Powers of Some Syntactically Restricted Classes of Logic Programs.
"Sébastien Ferré, Olivier Ridoux",A File System Based on Concept Analysis.
"Hans-Peter Störr, Michael Thielscher",A New Equational Foundation for the Fluent Calculus.
"Alexander Celle, Leopoldo E. Bertossi",Querying Inconsistent Databases: Algorithms and Implementation.
Toby Walsh,SAT v CSP.
"Renato Bruni, Antonio Sassano",Finding Minimal Unsatisfiable Subformulae in Satisfiability Instances.
"Benjamin W. Wah, Yi Xin Chen",Optimal Anytime Constrained Simulated Annealing for Constrained Global Optimization.
"Patrick Prosser, Kostas Stergiou, Toby Walsh",Singleton Consistencies.
"Peter Z. Revesz, Mengchu Cai",Efficient Querying of Periodic Spatiotemporal Objects.
"Bhaskar Krishnamachari, Xi Xie, Bart Selman, Stephen B. Wicker",Analysis of Random Noise and Random Walk Algorithms.
"Michael S. Brown, W. Brent Seales",Beyond 2D images: effective 3D imaging for library materials.
"Dion Hoe-Lian Goh, John J. Leggett",Patron-augmented digital libraries.
"Masayuki Kumazawa, Hironori Kamada, Atsushi Yamada, Hiroshi Hoshino, Yahiko Kambayashi, Mukesh K. Mohania",Relationship among copyright holders for use and reuse of digital contents.
"Lloyd A. Smith, Eline F. Chiu, Brian L. Scott",A speech interface for building musical score collections.
"Geert-Jan Houben, Paul De Bra",Automatic hypermedia generation for ad hoc queries on semi-structured data.
"Mark G. L. M. van Doorn, Arjen P. de Vries",The psychology of multimedia databases.
"Ho-Sik Seok, Kwang-Ju Lee, Byoung-Tak Zhang, Dong-Wook Lee, Kwee-Bo Sim",Genetic Programming of Process Decomposition Strategies for Evolvable Hardware.
"Hugo de Garis, Andrzej Buller, Thierry Dob, Jean Honlet, Padma Guttikonda, Derek Decesare",Building Multimodule Systems with Unlimited Evolvable Capacities from Modules with Limited Evolvable Capacities (MECs).
"Daniel Mange, Moshe Sipper, André Stauffer, Gianluca Tempesti",Toward Self-Repairing and Self-Replicating Hardware: The Embryonics Approach.
"Silvana Castano, Luigi Palopoli, Riccardo Torlone",A General Methodological Framework for the Development of Web-Based Information Systems.
"Yinyan Cao, Ee-Peng Lim, Wee Keong Ng",On Warehousing Historical Web Information.
Elaine Stricklett,Information Quality at Every Stage of the Information Chain.
"Yoshiaki Takata, Kokoro Nakagawa, Hiroyuki Seki",Flexible Category Structure for Supporting WWW Retrieval.
"Natacha Güell, Daniel Schwabe, Patricia Vilain",Modeling Interactions and Navigation in Web Applications.
"Takako Hashimoto, Yukari Shirota, Atsushi Iizawa, Hideko S. Kunii",Personalized Digests of Sports Programs Using Intuitive Retrieval and Semantic Analysis.
Alex Friedgan,Documenting Meta Data Transformations.
Sergey Melnik,Declarative Mediation in Distributed Systems.
Vance E. Waddle,Graph Layout for Displaying Data Structures.
"Ulrik Brandes, Sabine Cornelsen, Dorothea Wagner",How to Draw the Minimum Cuts of a Planar Graph (Extended Abstract).
David R. Wood,Lower Bounds for the Number of Bends in Three-Dimensional Orthogonal Graph Drawings.
"Aaron J. Quigley, Peter Eades","FADE: Graph Drawing, Clustering, and Visual Abstraction."
"Eike Schallehn, Martin Endig",Integration von Internetdatenbanken mit eingeschränkten Anfragemöglichkeiten.
"Uwe Roth, Thomas Engel, Christoph Meinel",Improving the Quality of Information-Flow with the Smart Data Server.
"Fei Xue, Velibor Markovski, Ljiljana Trajkovic",Wavelet Analysis of Packet Loss in Video Transfers over UDP.
"Marko Palola, M. Heikkinen",Constructing Mobile Web Services on a Software Agent Platform.
Maxim Lifantsev,Voting Model for Ranking Web Pages.
"Dharmendra S. Modha, W. Scott Spangler",Clustering hypertext with applications to web searching.
Moritz Neumüller,A semiotic analysis of iMarketing tools.
"Patrick Chiu, Jonathan Foote, Andreas Girgensohn, John S. Boreczky",Automatically linking multimedia meeting documents by image matching.
Licia Calvi,Text and hypertext: always a binary relationship?
"Robert Kendall, Jean-Hugues Réty",Toward an organic hypertext.
"Stephan Fischer, Ralf Steinmetz",Automatic creation of exercises in adaptive hypermedia learning systems.
Sougata Mukherjea,Organizing topic-specific web information.
John E. McEneaney,Navigational correlates of comprehension in hypertext.
"Michel Crampes, Sylvie Ranwez",Ontology-supported and ontology-driven conceptual navigation on the World Wide Web.
"Kenneth M. Anderson, Christian Och, Roger King, Richard Osborne",Integrating infrastructure: enabling large-scale client integration.
"Jing Yu, David Wessels, Yong-qing Li",Fuzzy Algorithm for Selection of Reliable Information from a Collection of Different Data Sources.
Marc Rittberger,Quality Evaluation of Electronic Communication Fora with evalYOUate.
"Tobias Isenberg, Maic Masuch, Thomas Strothotte",3D Illustrative Effects for Animating Line Drawings.
"Muhammad Sarfraz, Malik Zawwar Hussain, Sohail Butt",A Rational Spline for Visualizing Positive Data.
"Marion Borowski, Lars Bröcker, Stephan Heisterkamp, Jobst Löffler",Structuring the Visual Content of Digital Libraries Using CBIR Systems.
"Huang Jing, Edmond C. Prakash",SinusCone - A ThetaPhi Algorithm for Human Arm Animation.
"P. J. Boon, N. Eminovic, A. de Vos, B. Buitendijk, E. J. van Raaij, M. J. den Broeder, W. J. Hage, F. J. Verbeek",A Virtual Lab-Notebook for Multidimensional Microscopic Images.
"D. B. Arnold, A. M. Day, M. R. Goetz, A. Courtenay, H. I. Graham",Virtual Teeth for Endodontics Training and Practice.
"Peter Fröst, Peter Warren",Virtual Reality Used in a Collaborative Architectural Design Process.
"Gernot Opriessnig, Gernot Beer",Data Optimization for Visualization of FEM-Data.
"Howard D. White, Jan W. Buzydlowski, Xia Lin",Co-Cited Author Maps as Interfaces to Digital Libraries: Designing Pathfinder Networks in the Humanities.
"Egor Zindy, Christopher J. Moore, David Burton, Michael Lalor",Morphological Definition of Anatomic Shapes Using Minimal Datasets.
"Carlos R. Morales, Scott W. Meador","Trial Results from a Custom Distance Learning System Based on Hybridization of CD-ROM, Web, and Active-X Component Technology."
"Wen-Chai Song, Shih-Ching Ou, Song-Rong Shiau","Integrated Computer Graphics Learning System in Virtual Environment - Case Study of Bézier, B-Spline, and NURBS Algorithms."
"Vladimir Geroimenko, Larissa Geroimenko",Visualizing Human Consciousness Content Using Java3D/X3D and Psychological Techniques.
"C. Russo Dos Santos, P. Gros, P. Abel, Didier Loisel, N. Trichaud, J. P. Paris",Mapping Information onto 3D Virtual Worlds.
"Bernard Champoux, Katsuki Fujisawa, Tomoyoshi Inoue, Yuichi Iwadate",Transmitting Visual Information: Icons Become Words.
"David Modjeska, John A. Waterworth",Effects of Desktop 3D World Design on User Navigation and Search Performance.
"Diego Calvanese, Giuseppe De Giacomo, Maurizio Lenzerini, Moshe Y. Vardi",Containment of Conjunctive Regular Path Queries with Inverse.
"Robert A. Morris, Paul H. Morris",On the complexity of reasoning about repeating events.
"Chitta Baral, Sheila A. McIlraith, Tran Cao Son",Formulating diagnostic problem solving using an action language with narratives and sensing.
Antony Galton,Continuous Motion in Discrete Space.
"Thomas Eiter, Thomas Lukasiewicz",Complexity Results for Default Reasoning from Conditional Knowledge Bases.
"Matthew L. Ginsberg, Andrew J. Parkes",Satisfiability Algorithms and Finite Quantification.
"Paolo Liberatore, Marco Schaerf",BReLS: A System for the Integration of Knowledge Bases.
"Nestor Rychtyckyj, Robert G. Reynolds",Long-Term Maintanability of Deployed Knowledge Representation Systems.
Andrei Voronkov,Deciding K using inverse-K.
Ichiro Satoh,MobiDoc: A Framework for Building Mobile Compound Documents from Hierarchical Mobile Agents.
"Hovav Gazit, Israel Ben-Shaul, Ophir Holder",Monitoring-Based Dynamic Relocation of Components in FarGo.
