pattern,transaction_index,pattern_type
Ralf Steinmetz,"[70, 1323, 1325, 3362]",author
Cheng-Wen Wu,"[194, 196, 288, 1909]",author
Thomas S. Huang,"[652, 835, 1012, 1123]",author
Maja J. Mataric,"[660, 669, 2266, 2271]",author
K. Suzanne Barber,"[707, 1311, 2129, 2444, 2448]",author
Josef Kittler,"[737, 1108, 1113, 1573]",author
Gerald Sommer,"[768, 770, 1569, 1721]",author
Edwin R. Hancock,"[839, 1119, 1127, 1204, 1576]",author
Masaru Kitsuregawa,"[1373, 2467, 3480, 3762]",author
Roberto Gorrieri,"[1731, 1899, 2330, 3618, 3756]",author
Nancy E. Reed,"[2198, 2437, 2444, 2445, 3711]",author
Bharat K. Bhargava,"[2238, 3213, 3890, 3896]",author
Sanjay Kumar Madria,"[2705, 3213, 3890, 3896]",author
Bill Hancock,"[3533, 3534, 3535, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546]",author
xml,"[166, 662, 1305, 1446, 1534, 1545, 1634, 2088, 2170, 2333, 2463, 2711, 2738, 3400, 3933]",title
extend abstract,"[57, 919, 950, 1507, 1558, 1587, 1590, 2058, 2071, 2689]",title
workshop,"[1302, 2066, 2806, 3099, 3748, 3749, 3922, 3928, 3934, 3981]",title
name,"[159, 306, 496, 519, 1317, 1464, 1776, 3675, 4001]",title
weight,"[503, 1619, 2019, 2325, 2627, 2717, 2761, 2970, 3005, 3332, 3551, 3873]",title
transmiss,"[118, 997, 1871, 1916, 1965, 1968, 2102, 2404]",title
use applic,"[363, 913, 1043, 1200, 1324, 1880, 1930, 2026, 2134, 2633]",title
guest introduct,"[3089, 3480, 3737, 3843, 3859, 3865, 3870]",title
autonomi,"[707, 708, 2437, 2444, 2445, 2448, 3709]",title
use transform,"[1126, 1135, 1692, 1765, 1903, 2361, 3122, 3454]",title
use agent,"[1435, 1537, 1717, 2033, 2272, 2360, 2442, 3030, 3323, 3663]",title
virtual realiti,"[83, 209, 385, 1281, 1861, 3868]",title
versu,"[902, 1380, 2804, 3034, 3531, 3682]",title
among,"[41, 762, 1265, 1461, 2346, 3551]",title
user interfac,"[1606, 1607, 1776, 3030, 3127, 3751]",title
vlsi,"[191, 984, 1103, 1231, 1392, 2794]",title
stabil,"[486, 893, 1067, 1454, 3138, 3336]",title
valid model,"[220, 532, 578, 625, 639, 2663]",title
satellit,"[381, 404, 467, 613, 1799, 3467]",title
symmetri,"[1181, 1427, 2383, 2788, 3577, 3594]",title
vehicl,"[886, 1226, 1228, 1238, 1240, 2366]",title
intuitionist,"[26, 2332, 3899, 3991, 3992]",title
mpeg,"[1010, 1015, 1158, 1179, 1966]",title
provis,"[433, 477, 2224, 2480, 2642, 3520]",title
perturb,"[488, 492, 860, 2056, 2661]",title
workbench,"[141, 1406, 1642, 2578, 3803]",title
clinic,"[2034, 2063, 2560, 3385, 3835]",title
problem network,"[324, 631, 913, 1349, 1920, 2606, 3969, 3972]",title
itemset,"[856, 1500, 1612, 1711, 2081]",title
learn algorithm,"[88, 1442, 1824, 2077, 2700, 3883]",title
string,"[280, 284, 418, 3163, 3452]",title
gener framework,"[48, 195, 874, 1751, 2418]",title
block network,"[2544, 2546, 3200, 3382, 3952]",title
comput function,"[216, 495, 2423, 3161, 3169, 3325]",title
window,"[264, 594, 970, 3029, 3988]",title
varianc,"[640, 1165, 1450, 2146, 2790]",title
summari,"[710, 757, 763, 1517, 2390, 3099]",title
realist,"[193, 1281, 1386, 1697, 3872]",title
visualis,"[207, 209, 1523, 1700, 1978, 2452]",title
techniqu network,"[481, 631, 1421, 1921, 3654]",title
toward model,"[270, 724, 1258, 1486]",title
workflow system,"[1529, 1782, 3266, 3892]",title
storag retriev,"[823, 1337, 1955, 2170]",title
valu decomposit,"[1127, 1576, 3352, 3699]",title
data transmiss,"[118, 1916, 1968, 2102]",title
adapt network,"[461, 631, 1966, 3758]",title
coordin system,"[863, 881, 3165, 3755]",title
two convex,"[1596, 2289, 2992, 2999]",title
mpeg compress,"[1010, 1015, 1158, 1179]",title
toward databas,"[270, 1215, 1465, 2467]",title
adapt hypermedia,"[6, 9, 10, 70]",title
cdma system,"[378, 392, 2539, 3948]",title
speech recognit,"[901, 2188, 3383, 3668]",title
file system,"[30, 498, 2790, 3780]",title
video segment,"[1001, 1200, 1938, 1976, 1979]",title
model studi,"[1567, 1575, 2815, 3358, 3715]",title
tool program,"[914, 1406, 1409, 1419, 1699, 3129]",title
tool learn,"[1857, 1969, 2512, 2927, 2928]",title
tool techniqu,"[1193, 2148, 3879, 3881]",title
video applic,"[402, 963, 1056, 1200, 1949]",title
decis system,"[523, 855, 2007, 2353, 3038]",title
video sequenc,"[1032, 1083, 1113, 3088, 3766]",title
high speed,"[202, 1370, 2367, 2626]",title
knowledg case,"[12, 1884, 2002, 2034]",title
gener analysi,"[821, 3205, 3772, 3801]",title
planar graph,"[57, 2291, 2953, 3278]",title
classifi system,"[570, 2063, 2065, 2728]",title
unifi approach,"[134, 1397, 2175, 3649]",title
toler system,"[180, 519, 987, 3731]",title
perform server,"[259, 2228, 3494, 3500]",title
relat structur,"[1774, 2171, 2745, 3305, 3350]",title
framework simul,"[614, 616, 2435, 2568]",title
tempor logic,"[872, 2336, 2678, 2731]",title
probabl network,"[2544, 2546, 3200, 3952]",title
studi support,"[9, 1409, 1851, 3895]",title
fast recognit,"[1123, 1192, 1285, 3121]",title
debug program,"[1506, 1699, 2391, 2393]",title
transit system,"[187, 913, 1810, 3174]",title
