author,transaction_index
Ralf Steinmetz,"[70, 1323, 1325, 3362]"
Cheng-Wen Wu,"[194, 196, 288, 1909]"
Thomas S. Huang,"[652, 835, 1012, 1123]"
Maja J. Mataric,"[660, 669, 2266, 2271]"
K. Suzanne Barber,"[707, 1311, 2129, 2444, 2448]"
Josef Kittler,"[737, 1108, 1113, 1573]"
Gerald Sommer,"[768, 770, 1569, 1721]"
Edwin R. Hancock,"[839, 1119, 1127, 1204, 1576]"
Masaru Kitsuregawa,"[1373, 2467, 3480, 3762]"
Roberto Gorrieri,"[1731, 1899, 2330, 3618, 3756]"
Nancy E. Reed,"[2198, 2437, 2444, 2445, 3711]"
Bharat K. Bhargava,"[2238, 3213, 3890, 3896]"
Sanjay Kumar Madria,"[2705, 3213, 3890, 3896]"
Bill Hancock,"[3533, 3534, 3535, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546]"
