title_pattern,Freq,transaction_index,cluster_index
xml,15,"[166, 662, 1305, 1446, 1534, 1545, 1634, 2088, 2170, 2333, 2463, 2711, 2738, 3400, 3933]",51
extend abstract,10,"[57, 919, 950, 1507, 1558, 1587, 1590, 2058, 2071, 2689]",130
workshop,9,"[1302, 2066, 2806, 3099, 3748, 3749, 3922, 3928, 3934, 3981]",100
name,9,"[159, 306, 496, 519, 1317, 1464, 1776, 3675, 4001]",20
weight,9,"[503, 1619, 2019, 2325, 2627, 2717, 2761, 2970, 3005, 3332, 3551, 3873]",81
transmiss,8,"[118, 997, 1871, 1916, 1965, 1968, 2102, 2404]",125
use applic,8,"[363, 913, 1043, 1200, 1324, 1880, 1930, 2026, 2134, 2633]",101
guest introduct,7,"[3089, 3480, 3737, 3843, 3859, 3865, 3870]",46
autonomi,7,"[707, 708, 2437, 2444, 2445, 2448, 3709]",151
use transform,7,"[1126, 1135, 1692, 1765, 1903, 2361, 3122, 3454]",21
use agent,7,"[1435, 1537, 1717, 2033, 2272, 2360, 2442, 3030, 3323, 3663]",26
virtual realiti,6,"[83, 209, 385, 1281, 1861, 3868]",80
versu,6,"[902, 1380, 2804, 3034, 3531, 3682]",53
among,6,"[41, 762, 1265, 1461, 2346, 3551]",27
user interfac,6,"[1606, 1607, 1776, 3030, 3127, 3751]",141
vlsi,6,"[191, 984, 1103, 1231, 1392, 2794]",99
stabil,6,"[486, 893, 1067, 1454, 3138, 3336]",50
valid model,6,"[220, 532, 578, 625, 639, 2663]",163
satellit,6,"[381, 404, 467, 613, 1799, 3467]",49
symmetri,6,"[1181, 1427, 2383, 2788, 3577, 3594]",144
vehicl,6,"[886, 1226, 1228, 1238, 1240, 2366]",95
intuitionist,5,"[26, 2332, 3899, 3991, 3992]",11
mpeg,5,"[1010, 1015, 1158, 1179, 1966]",127
provis,5,"[433, 477, 2224, 2480, 2642, 3520]",161
perturb,5,"[488, 492, 860, 2056, 2661]",134
workbench,5,"[141, 1406, 1642, 2578, 3803]",71
clinic,5,"[2034, 2063, 2560, 3385, 3835]",156
